Date,BuildUpSpeed_Home,DefensivePressure_Home,BuildUpSpeed_Away,DefensivePressure_Away,Over_Odds,Under_Odds,B365H,B365D,B365A,Predicted_Outcome,Match_Details,Actual_Result,Success Rate
10/14/2024,42.1,61.6,42.2,65.53,-200,150,1.2,6.5,13,1,Italy vs Israel,1,100%
10/14/2024,20.2,53.86,51.6,51.6,-175,135,11,6,1.25,1,Estonia vs Sweden,1,100%
10/14/2024,67.7,50.5,52.1,77.69,105,-134,2.8,3.4,2.45,1,Belgium vs France,1,100%
10/14/2024,72.5,71.1,56.09,47.3,-200,150,1.8,3.7,4.2,0,Germany vs Netherlands,0,100%
10/14/2024,33.59,65.66,50.6,55.89,115,-150,3.1,3.4,2.25,1,Bosnia vs Hungary,0,80%
10/14/2024,38.4,58.26,41.5,69.6,105,-134,2.5,3.2,2.88,0,Ukraine vs Czech Republic,0,83%
10/14/2024,38,66.46,42,72.26,-106,-118,1.57,4.1,5.5,1,Wales vs Montenegro,0,71%
10/14/2024,42.39,59.69,54.79,67.96,-112,-112,4.5,3.5,1.8,1,Iceland vs Turkey,1,75%
10/14/2024,40,47.96,25.1,54.03,-112,-112,1.38,4.5,8.5,1,Atletico Nacional vs Envigado,1,78%
10/14/2024,35.69,56.56,28.19,57.33,140,-188,1.8,3.3,4.75,1,America de Cali vs Ind. Medellin,0,70%
10/14/2024,35.5,56.73,25.8,55.03,160,-211,1.91,3.3,4.2,0,Once Caldas vs Dep. Pasto,1,64%
10/14/2024,21.5,63.56,29.5,51.3,-138,107,1.5,4.2,5.25,1,Curacao vs Grenada,0,58%
10/15/2024,52.4,62.26,49.4,75.9,-163,125,1.36,4.75,9.5,1,Japan vs Australia,0,54%
10/15/2024,42.1,61.33,48.8,83.06,110,-143,2.9,3.3,2.4,1,Poland vs Croatia,1,57%
10/15/2024,37.8,59.56,76.89,58.93,-154,120,4.8,4.2,1.63,1,Portugal vs Scotland,0,53%
10/15/2024,54.3,66.3,41.2,62.83,-125,100,1.36,4.5,8,1,Spain vs Serbia,1,56%
10/15/2024,35.4,60.06,51.3,62.73,140,-155,2.15,3.2,3.5,0,Switzerland vs Denmark,1,53%
10/15/2024,14.39,59.56,37.5,84.03,250,-350,2.88,2.75,2.88,0,Rwanda vs Benin,1,50%
10/15/2024,49.1,89.83,27.9,65.39,115,-150,1.36,4.5,10,1,Colombia vs Chile,1,53%
10/15/2024,38.6,81.46,28.8,70.26,-350,260,1.06,15,21,1,Argentina vs Bolivia,1,55%
10/15/2024,37.3,53.66,18,71.96,-118,-106,1.2,6.5,15,1,Brazil vs Peru,1,57%
10/15/2024,41.19,88.16,29.79,69.46,170,-225,1.75,3.25,5.5,1,Uruguay vs Ecuador,0,55%
10/16/2024,33.9,52.56,33.3,44.96,150,-200,1.95,3.2,4.2,0,Millionarios vs Fortaleza,1,52%
10/19/2024,33.9,67.76,40.99,79.44,110,-138,2.5,3.4,2.7,1,Osasuna vs Real Betis,1,54%
10/19/2024,44.8,68.48,35.25,71.74,120,-150,2.4,3.4,2.9,1,Girona FC vs Real Sociedad,0,52%
10/18/2024,59.3,100,51.2,100,110,-143,2.4,3.1,2.7,1,Sevilla Atletico vs Villareal B,1,54%
10/19/2024,30.99,77.46,32.8,95.06,-125,100,2.4,3.3,3,1,Ipswich Town vs Everton,0,52%
10/19/2024,34.3,75.36,47.2,74.26,-200,162,1.95,3.7,3.6,1,Newcastle United vs Brighton,0,50%
10/18/2024,28.4,79.63,26.69,74.73,110,-138,1.6,3.9,5.75,0,Deportivo Alaves vs Real Valladolid,1,48%
10/21/2024,38.5,82.76,26.1,85.5,110,-138,2.38,3.3,3,1,Nottingham Forest vs Crystal Palace,0,47%
11/17/2024,18,97.86,40.4,48.8,-150,115,5.75,4.5,1.5,1,Israel vs Belgium,2,-
11/17/2024,42.4,71.73,53.79,80.8,130,-167,2.7,3.1,2.8,1,Italy vs France,1,47%
11/17/2024,59.6,65.53,27.4,55.26,-143,110,1.22,6.5,12,1,England vs Ireland,1,48%
11/17/2024,18,67.86,40,71.6,120,-154,4.5,3.4,1.83,1,Finland vs Greece,0,47%
11/17/2024,53.8,84.66,38.2,80.93,-125,100,1.38,4.75,7.5,1,Austria vs Slovenia,0,46%
11/17/2024,59.59,66.66,17.8,86.73,-300,240,1.07,11,26,1,Norway vs Kazakhstan,1,47%
